Priority comparison: PW vs TTC (10000p_150d)
Sorted by priority descending (highest priority number = most important)
Patient ID   PW    TTC    Priority  Verdict
      6420    Y      Y        9599   both
      1581    Y      Y        9598   both
      2682    Y      Y        9597   both
      5491    Y      Y        9596   both
      9492    Y      Y        9595   both
      6166    Y      Y        9594   both
      1748    Y      Y        9593   both
      8641    Y      Y        9592   both
      3643    Y      Y        9591   both
       454    Y      Y        9590   both
      1512    Y      Y        9589   both
      2033    Y      Y        9588   both
      7322    Y      Y        9587   both
      8171    Y      Y        9586   both
      8061    Y      Y        9585   both
      6405    Y      Y        9584   both
      5594    Y      Y        9583   both
      6991    Y      Y        9582   both
      6139    Y      Y        9581   both
      1611    Y      Y        9580   both
      8419    Y      Y        9579   both
      9047    Y      Y        9578   both
      5269    Y      Y        9577   both
      7839    Y      N        9576  PW only
      1712    Y      Y        9575   both
      6943    Y      Y        9574   both
      7870    Y      Y        9573   both
      1295    Y      Y        9572   both
      5908    Y      Y        9571   both
       586    Y      Y        9570   both
      8289    Y      Y        9569   both
      4446    Y      Y        9568   both
      9855    Y      Y        9567   both
      4263    Y      Y        9566   both
       111    Y      Y        9565   both
      8288    Y      Y        9564   both
      6022    Y      Y        9563   both
      3558    Y      N        9562  PW only
      8659    Y      Y        9561   both
      1425    Y      Y        9560   both
      5256    Y      Y        9559   both
      2672    Y      Y        9558   both
       158    Y      Y        9557   both
      6307    Y      Y        9556   both
      9848    Y      Y        9555   both
      6172    Y      Y        9554   both
      4653    Y      Y        9553   both
       834    Y      Y        9552   both
      3273    Y      Y        9551   both
      8439    Y      Y        9550   both
      8204    Y      Y        9549   both
      2076    Y      Y        9548   both
      4317    Y      Y        9547   both
      5695    Y      Y        9546   both
      6763    Y      Y        9545   both
      3096    Y      Y        9544   both
      5781    Y      Y        9543   both
      3934    Y      Y        9542   both
      5502    Y      Y        9541   both
      2311    Y      Y        9540   both
      8394    Y      Y        9539   both
      6865    Y      Y        9538   both
      7943    Y      Y        9537   both
      8992    Y      Y        9536   both
       562    Y      Y        9535   both
      5093    Y      Y        9534   both
      6707    Y      Y        9533   both
      1012    Y      Y        9532   both
        83    Y      Y        9531   both
      6107    Y      Y        9530   both
      8772    Y      Y        9529   both
      4888    Y      Y        9528   both
      9320    Y      Y        9527   both
      5671    Y      Y        9526   both
      2072    Y      Y        9525   both
      4339    Y      Y        9524   both
      8663    Y      Y        9523   both
       749    Y      Y        9522   both
      8825    Y      Y        9521   both
      2884    Y      Y        9520   both
      6403    Y      Y        9519   both
      3216    Y      Y        9518   both
      4677    Y      Y        9517   both
      4776    Y      Y        9516   both
      3167    N      N        9515  neither
      7824    Y      Y        9514   both
      1021    Y      Y        9513   both
       476    Y      Y        9512   both
      6035    Y      Y        9511   both
      3657    Y      Y        9509   both
      3653    Y      Y        9508   both
      4863    Y      Y        9507   both
      2265    Y      Y        9506   both
      5518    Y      Y        9505   both
      9496    Y      Y        9504   both
      9113    Y      Y        9503   both
      6059    Y      Y        9502   both
      3445    Y      Y        9501   both
      9144    Y      Y        9500   both
      8913    Y      Y        9499   both
      1004    Y      Y        9498   both
      6840    Y      Y        9497   both
      3991    Y      Y        9496   both
       228    Y      Y        9495   both
      6626    Y      Y        9494   both
      7952    Y      Y        9493   both
      7085    Y      Y        9492   both
      3577    Y      Y        9491   both
      9533    Y      Y        9490   both
      1859    Y      Y        9489   both
      2862    Y      Y        9488   both
      6396    Y      Y        9487   both
      2698    Y      Y        9486   both
       791    Y      Y        9485   both
      8093    Y      Y        9484   both
      5433    Y      Y        9483   both
      2067    Y      Y        9482   both
      2452    Y      Y        9481   both
      8346    Y      Y        9480   both
      3815    N      N        9479  neither
      9015    Y      Y        9478   both
      8521    Y      Y        9477   both
      1353    Y      Y        9476   both
      2642    Y      Y        9475   both
      1161    Y      Y        9474   both
      6683    Y      Y        9473   both
      6668    Y      Y        9472   both
      8673    Y      Y        9471   both
      1900    Y      Y        9470   both
      8365    Y      Y        9469   both
      2378    Y      Y        9468   both
      2746    Y      Y        9467   both
      2282    Y      Y        9466   both
      1528    Y      Y        9465   both
      8377    Y      Y        9464   both
      3334    Y      Y        9463   both
      8146    Y      Y        9462   both
      8497    Y      Y        9461   both
      4880    Y      Y        9460   both
      8460    Y      Y        9459   both
      5772    Y      Y        9458   both
      9647    Y      Y        9457   both
      9553    Y      Y        9456   both
      1849    Y      Y        9455   both
      5282    Y      Y        9454   both
      1991    Y      Y        9453   both
      2750    Y      Y        9452   both
      4351    Y      N        9451  PW only
      5803    Y      Y        9450   both
      1205    Y      Y        9449   both
      8660    Y      Y        9448   both
      8277    Y      Y        9447   both
      2148    Y      Y        9446   both
      2764    Y      Y        9445   both
      7914    Y      Y        9444   both
      2614    Y      Y        9443   both
      5564    Y      Y        9442   both
      3649    Y      Y        9440   both
      4056    Y      Y        9439   both
       289    Y      Y        9438   both
      4114    Y      Y        9437   both
