algorithm,kind,wait_days,count
Util Exp 1.5,resolved,25,2
Util Exp 1.5,resolved,26,4
Util Exp 1.5,resolved,27,3
Util Exp 1.5,resolved,28,2
Util Exp 1.5,resolved,29,2
Util Exp 1.5,resolved,30,4
Util Exp 1.5,resolved,31,7
Util Exp 1.5,resolved,32,4
Util Exp 1.5,resolved,34,1
Util Exp 1.5,resolved,35,2
Util Exp 1.5,resolved,36,2
Util Exp 1.5,outstanding,0,178
Util Exp 1.5,outstanding,1,53
Util Exp 1.5,outstanding,2,44
Util Exp 1.5,outstanding,3,31
Util Exp 1.5,outstanding,4,33
Util Exp 1.5,outstanding,5,35
Util Exp 1.5,outstanding,6,27
Util Exp 1.5,outstanding,7,22
Util Exp 1.5,outstanding,8,23
Util Exp 1.5,outstanding,9,31
Util Exp 1.5,outstanding,10,25
Util Exp 1.5,outstanding,11,32
Util Exp 1.5,outstanding,12,20
Util Exp 1.5,outstanding,13,18
Util Exp 1.5,outstanding,14,14
Util Exp 1.5,outstanding,15,23
Util Exp 1.5,outstanding,16,26
Util Exp 1.5,outstanding,17,9
Util Exp 1.5,outstanding,18,11
Util Exp 1.5,outstanding,19,13
Util Exp 1.5,outstanding,20,13
Util Exp 1.5,outstanding,21,13
Util Exp 1.5,outstanding,22,14
Util Exp 1.5,outstanding,23,13
Util Exp 1.5,outstanding,24,9
Util Exp 1.5,outstanding,25,14
Util Exp 1.5,outstanding,26,3
Util Exp 1.5,outstanding,27,9
Util Exp 1.5,outstanding,28,10
Util Exp 1.5,outstanding,29,8
Util Exp 1.5,outstanding,30,8
Util Exp 1.5,outstanding,31,8
Util Exp 1.5,outstanding,32,8
Util Exp 1.5,outstanding,33,7
Util Exp 1.5,outstanding,34,2
Util Exp 1.5,outstanding,35,4
Util Exp 1.5,outstanding,36,3
Util Exp 1.5,outstanding,38,2
Util Exp 1.5,outstanding,39,1
Util Exp 1.5,outstanding,40,2
Util Exp 1.9,resolved,1,5206
Util Exp 1.9,resolved,2,430
Util Exp 1.9,resolved,3,201
Util Exp 1.9,resolved,4,133
Util Exp 1.9,resolved,5,93
Util Exp 1.9,resolved,6,68
Util Exp 1.9,resolved,7,69
Util Exp 1.9,resolved,8,47
Util Exp 1.9,resolved,9,41
Util Exp 1.9,resolved,10,46
Util Exp 1.9,resolved,11,35
Util Exp 1.9,resolved,12,38
Util Exp 1.9,resolved,13,30
Util Exp 1.9,resolved,14,21
Util Exp 1.9,resolved,15,21
Util Exp 1.9,resolved,16,12
Util Exp 1.9,resolved,17,10
Util Exp 1.9,resolved,18,20
Util Exp 1.9,resolved,19,9
Util Exp 1.9,resolved,20,15
Util Exp 1.9,resolved,21,17
Util Exp 1.9,resolved,22,13
Util Exp 1.9,resolved,23,14
Util Exp 1.9,resolved,24,10
Util Exp 1.9,resolved,25,6
Util Exp 1.9,resolved,26,5
Util Exp 1.9,resolved,27,2
Util Exp 1.9,resolved,28,1
Util Exp 1.9,resolved,29,1
Util Exp 1.9,resolved,30,3
Util Exp 1.9,resolved,31,4
Util Exp 1.9,resolved,32,5
Util Exp 1.9,resolved,33,4
Util Exp 1.9,resolved,34,2
Util Exp 1.9,resolved,35,1
Util Exp 1.9,resolved,40,1
Util Exp 1.9,outstanding,0,178
Util Exp 1.9,outstanding,1,69
Util Exp 1.9,outstanding,2,53
Util Exp 1.9,outstanding,3,48
Util Exp 1.9,outstanding,4,44
Util Exp 1.9,outstanding,5,35
Util Exp 1.9,outstanding,6,43
Util Exp 1.9,outstanding,7,34
Util Exp 1.9,outstanding,8,31
Util Exp 1.9,outstanding,9,35
Util Exp 1.9,outstanding,10,28
Util Exp 1.9,outstanding,11,28
Util Exp 1.9,outstanding,12,31
Util Exp 1.9,outstanding,13,23
Util Exp 1.9,outstanding,14,16
Util Exp 1.9,outstanding,15,23
Util Exp 1.9,outstanding,16,17
Util Exp 1.9,outstanding,17,16
Util Exp 1.9,outstanding,18,12
Util Exp 1.9,outstanding,19,11
Util Exp 1.9,outstanding,20,15
Util Exp 1.9,outstanding,21,4
Util Exp 1.9,outstanding,22,17
Util Exp 1.9,outstanding,23,11
Util Exp 1.9,outstanding,24,7
Util Exp 1.9,outstanding,25,9
Util Exp 1.9,outstanding,26,2
Util Exp 1.9,outstanding,27,9
Util Exp 1.9,outstanding,28,4
Util Exp 1.9,outstanding,29,3
Util Exp 1.9,outstanding,30,11
Util Exp 1.9,outstanding,31,7
Util Exp 1.9,outstanding,32,5
Util Exp 1.9,outstanding,33,4
Util Exp 1.9,outstanding,36,2
Util Exp 1.9,outstanding,39,1
