Lex comparison: SP vs True — sorted by priority descending
 PatientID     SP   True    Priority     Verdict
       299      Y      Y         547        both
       871      Y      Y         546        both
       103      N      N         545     neither
       150      Y      Y         544        both
       129      Y      Y         543        both
       982      N      N         542     neither
       276      Y      Y         541        both
       374      Y      Y         540        both
       540      Y      Y         539        both
       990      N      N         538     neither
       850      Y      Y         537        both
       178      Y      N         536      A only
       480      Y      Y         535        both
       980      N      N         534     neither
        21      Y      Y         533        both
       312      Y      N         532      A only
       317      Y      N         531      A only
       698      Y      Y         530        both
       441      Y      Y         529        both
       945      Y      Y         528        both
       741      N      N         527     neither
       622      Y      N         525      A only
        92      Y      N         524      A only
       896      Y      Y         523        both
       881      Y      Y         522        both
       465      Y      Y         520        both
       456      N      N         519     neither
       285      Y      Y         518        both
       182      N      N         517     neither
       128      N      N         516     neither
        13      N      Y         515      B only
       596      Y      N         514      A only
       486      N      N         513     neither
       902      N      N         512     neither
       138      Y      Y         511        both
       185      N      N         510     neither
       125      N      N         509     neither
       387      N      N         508     neither
       275      N      N         507     neither
       266      Y      Y         506        both
       823      Y      Y         505        both
       764      Y      Y         504        both
       400      N      N         503     neither
       463      Y      Y         502        both
       278      Y      Y         501        both
       207      N      N         500     neither
       999      Y      Y         499        both
       831      Y      Y         498        both
       218      Y      Y         497        both
       247      N      N         496     neither
       554      Y      Y         495        both
       989      N      N         494     neither
       915      Y      N         493      A only
       403      Y      N         492      A only
       926      N      N         491     neither
       246      N      N         490     neither
        87      Y      Y         489        both
        14      N      N         488     neither
        78      N      N         487     neither
       301      Y      Y         486        both
       668      Y      N         484      A only
       794      Y      Y         482        both
       315      Y      Y         481        both
       147      N      N         480     neither
       978      Y      Y         479        both
       386      Y      N         478      A only
       820      Y      Y         477        both
       545      Y      N         476      A only
       941      Y      N         475      A only
       976      Y      N         474      A only
       650      N      N         473     neither
       767      N      N         472     neither
       588      N      N         471     neither
       856      Y      Y         470        both
       937      Y      N         469      A only
       566      Y      N         468      A only
       645      Y      Y         467        both
        18      N      N         466     neither
       548      Y      Y         465        both
        84      Y      N         464      A only
       292      Y      Y         463        both
       288      N      N         462     neither
       744      N      N         461     neither
       104      Y      Y         460        both
       514      Y      N         459      A only
       359      N      N         458     neither
       600      Y      Y         457        both
       664      Y      N         456      A only
       748      Y      N         455      A only
       590      N      N         454     neither
       725      Y      Y         453        both
       740      Y      Y         452        both
       737      N      N         451     neither
       778      N      N         450     neither
       428      N      N         449     neither
       274      Y      N         448      A only
        53      Y      N         447      A only
        52      N      N         446     neither
       427      Y      N         445      A only
       231      N      N         444     neither
       567      N      N         443     neither
       300      Y      N         442      A only
       101      Y      N         441      A only
       954      Y      Y         440        both
       189      N      N         439     neither
       867      Y      N         438      A only
       697      Y      N         437      A only
       508      N      N         436     neither
        29      N      N         435     neither
       863      Y      N         434      A only
       812      N      N         433     neither
       933      N      N         432     neither
       833      Y      Y         431        both
       893      Y      Y         430        both
       451      Y      N         429      A only
       453      Y      N         428      A only
       811      N      N         427     neither
       523      Y      Y         426        both
       671      Y      Y         425        both
       843      N      N         424     neither
       295      Y      Y         423        both
       968      Y      Y         422        both
       904      N      N         421     neither
       974      Y      Y         420        both
       824      N      N         419     neither
       746      Y      Y         418        both
        57      Y      N         417      A only
       712      Y      Y         416        both
       166      Y      Y         415        both
       250      N      N         414     neither
       673      Y      Y         413        both
       435      Y      Y         412        both
       237      Y      Y         411        both
       174      Y      N         410      A only
        45      Y      Y         409        both
       884      Y      N         408      A only
       536      N      N         407     neither
       449      Y      Y         406        both
        15      Y      Y         405        both
       835      Y      Y         404        both
       801      N      N         403     neither
      1000      Y      N         402      A only
       351      Y      N         401      A only
       700      Y      N         400      A only
       689      Y      N         399      A only
       382      Y      N         398      A only
       230      Y      N         397      A only
       611      Y      Y         396        both
       906      Y      N         395      A only
       358      Y      Y         394        both
