algorithm,kind,wait_days,count
Exact Priority,outstanding,17,11
Exact Priority,outstanding,18,12
Exact Priority,outstanding,19,8
Exact Priority,outstanding,20,6
Exact Priority,outstanding,21,11
Exact Priority,outstanding,22,8
Exact Priority,outstanding,23,7
Exact Priority,outstanding,24,8
Exact Priority,outstanding,25,8
Exact Priority,outstanding,26,10
Exact Priority,outstanding,27,12
Exact Priority,outstanding,28,10
Exact Priority,outstanding,29,8
Exact Priority,outstanding,30,8
Exact Priority,outstanding,31,9
Exact Priority,outstanding,32,5
Exact Priority,outstanding,33,8
Exact Priority,outstanding,34,9
Exact Priority,outstanding,35,11
Exact Priority,outstanding,36,781
Util Linear,resolved,1,4480
Util Linear,resolved,2,28
Util Linear,resolved,3,33
Util Linear,resolved,4,25
Util Linear,resolved,5,18
Util Linear,resolved,6,18
Util Linear,resolved,7,14
Util Linear,resolved,8,15
Util Linear,resolved,9,13
Util Linear,resolved,10,15
Util Linear,resolved,11,6
Util Linear,resolved,12,14
Util Linear,resolved,13,4
Util Linear,resolved,14,9
Util Linear,resolved,15,6
Util Linear,resolved,16,8
Util Linear,resolved,17,6
Util Linear,resolved,18,5
Util Linear,resolved,19,7
Util Linear,resolved,20,9
Util Linear,resolved,21,6
Util Linear,resolved,22,3
Util Linear,resolved,23,6
Util Linear,resolved,24,4
Util Linear,resolved,25,6
Util Linear,resolved,26,6
Util Linear,resolved,27,2
Util Linear,resolved,28,3
Util Linear,resolved,29,4
Util Linear,resolved,30,1
Util Linear,resolved,31,5
Util Linear,resolved,32,2
Util Linear,resolved,33,2
Util Linear,resolved,34,5
Util Linear,resolved,35,8
Util Linear,resolved,36,1
Util Linear,outstanding,0,18
Util Linear,outstanding,1,15
Util Linear,outstanding,2,8
Util Linear,outstanding,3,10
Util Linear,outstanding,4,12
Util Linear,outstanding,5,8
Util Linear,outstanding,6,8
Util Linear,outstanding,7,14
Util Linear,outstanding,8,6
Util Linear,outstanding,9,9
Util Linear,outstanding,10,6
Util Linear,outstanding,11,5
Util Linear,outstanding,12,5
Util Linear,outstanding,13,8
Util Linear,outstanding,14,9
Util Linear,outstanding,15,10
Util Linear,outstanding,16,9
Util Linear,outstanding,17,7
Util Linear,outstanding,18,11
Util Linear,outstanding,19,5
Util Linear,outstanding,20,8
Util Linear,outstanding,21,5
Util Linear,outstanding,22,5
Util Linear,outstanding,23,6
Util Linear,outstanding,24,6
Util Linear,outstanding,25,5
Util Linear,outstanding,26,7
Util Linear,outstanding,27,5
Util Linear,outstanding,28,8
Util Linear,outstanding,29,5
Util Linear,outstanding,30,5
Util Linear,outstanding,31,4
Util Linear,outstanding,32,2
Util Linear,outstanding,33,6
Util Linear,outstanding,34,4
Util Linear,outstanding,35,6
Util Linear,outstanding,36,581
